source_file,participant_id_raw,participant_group,experiment_num,experiment_kind,forced_stop_instruction,driver_age,driver_sex,sex_female,experience_years,day_night,weather,instructed_speed_kmh,initial_speed_kmh,speed_at_yellow_kmh,speed_delta_from_instruction_kmh,distance_threshold_m,yellow_onset_time_value,yellow_onset_time_source,yellow_onset_method,yellow_onset_interp_alpha,yellow_onset_bracket_row0,yellow_onset_bracket_row1,yellow_onset_bracket_d0_m,yellow_onset_bracket_d1_m,yellow_onset_bracket_speed0_kmh,yellow_onset_bracket_speed1_kmh,yellow_onset_distance_abs_error_m,tti_s,a_req_mps2,comfort_rating,go_decision,stop_decision,stop_detected_in_window,stop_distance_event_m,n_fix_rows,min_speed_kmh_full_run,min_light_distance_m,max_light_distance_m,traj_event_type,traj_time_col,traj_t_onset,traj_t_event,traj_duration_s,traj_onset_speed_kmh_raw_interp,traj_onset_distance_m_raw_interp,traj_event_speed_kmh_raw_interp,traj_event_distance_m_raw_interp,traj_v_end_obs_mps,traj_d_end_obs_m,go_decision_meta_original,stop_decision_meta_original,decision_label_override_applied,decision_label_override_reason
9_exp6_60.0_50.0_20260209-162858.csv,9,9,6.0,main,0,19.0,male,0,2.0,day,normal,50.0,49.306822780216535,49.306822780216535,-0.6931772197834647,60.0,1770650958.9297314,t_wall,linear_interpolation,0.2359698278412567,200,201,60.323597643901,58.9522458619321,49.266,49.439,0.0,4.380732479211093,1.5632476676181073,5.0,0,1,1,0.871208225936644,467,0.011,0.865119352378988,177.755755009203,stop,t_wall,1770650958.9297314,1770650970.60136,11.671628713607788,49.30682280608183,59.99999979496872,0.076,0.871208225936644,0.0211111111111111,0.871208225936644,0,1,0,
9_exp7_73.0_40.0_20260209-163053.csv,9,9,7.0,main,0,19.0,male,0,2.0,day,normal,40.0,37.518212844261264,37.518212844261264,-2.4817871557387363,73.0,1770651075.7903287,t_wall,linear_interpolation,0.5984466779398521,216,217,73.622953416733,72.5820028363446,37.292,37.67,0.0,7.004598035916243,0.7439203318045465,5.0,0,1,1,1.00674371344036,507,0.0,0.996923823531277,187.224584447716,stop,t_wall,1770651075.7903287,1770651089.79456,14.004231214523315,37.518212822656494,73.00000005949602,0.173,1.00674371344036,0.0480555555555555,1.00674371344036,0,1,0,
9_exp8_68.0_50.0_20260209-163312.csv,9,9,8.0,main,0,19.0,male,0,2.0,day,normal,50.0,46.56403684079545,46.56403684079545,-3.4359631592045474,68.0,1770651214.8165524,t_wall,linear_interpolation,0.7279824488636202,226,227,68.9394789169971,67.6489547862799,46.433,46.613,0.0,5.257276142895047,1.2301479251264955,5.0,0,1,1,0.891829254316408,507,0.004,0.890066993641802,199.461340124587,stop,t_wall,1770651214.8165524,1770651227.74966,12.933107614517212,46.56403688239388,67.99999970175683,0.104,0.891829254316408,0.0288888888888888,0.891829254316408,0,1,0,
9_exp9_64.0_40.0_20260209-163512.csv,9,9,9.0,main,0,19.0,male,0,2.0,day,normal,40.0,41.10921785593413,41.10921785593413,1.1092178559341337,64.0,1770651332.2848704,t_wall,linear_interpolation,0.6902231991766253,197,198,64.7879529789316,63.6463614185906,41.054,41.134,0.0,5.604582427411512,1.018740229990508,5.0,0,1,1,0.4817940644335,476,0.004,0.472972812994086,159.612092805481,stop,t_wall,1770651332.2848704,1770651345.11146,12.826589584350586,41.10921788575214,63.99999957450023,0.18,0.4817940644335,0.0499999999999999,0.4817940644335,0,1,0,
9_exp10_33.0_50.0_20260209-163657.csv,9,9,10.0,main,0,19.0,male,0,2.0,day,normal,50.0,45.11100927108381,45.11100927108381,-4.888990728916191,33.0,1770651439.8072405,t_wall,linear_interpolation,0.951262833570751,224,225,34.1883238313411,32.93911720893949,45.443,45.094,0.0,2.633503482178815,2.379118917713956,3.0,1,0,0,,401,0.004,-49.4194110730337,166.69407361166563,go,t_wall,1770651439.8072405,1770651442.4115484,2.6043078899383545,45.11100948276635,33.000000757694075,47.0338495089199,0.0,13.064958196922197,0.0,1,0,0,
9_exp11_30.0_60.0_20260209-163938.csv,9,9,11.0,main,0,19.0,male,0,2.0,day,normal,60.0,56.16103243864142,56.16103243864142,-3.8389675613585794,30.0,1770651601.0903528,t_wall,linear_interpolation,0.6631556847264318,227,228,31.040963354980377,29.471251477429632,56.419,56.03,0.0,1.9230415701134964,4.056149131396777,3.0,1,0,0,,397,0.007,-59.645178763663615,212.47697894652777,go,t_wall,1770651601.0903528,1770651602.9994974,1.909144639968872,56.16103270943008,30.000001092699684,56.73645021048752,0.0,15.760125058468756,0.0,1,0,0,
9_exp12_51.0_50.0_20260209-164218.csv,9,9,12.0,main,0,19.0,male,0,2.0,day,normal,50.0,48.221211053588725,48.221211053588725,-1.7787889464112752,51.0,1770651760.3106809,t_wall,linear_interpolation,0.5874165728351113,215,216,51.785013605362096,50.44863046320235,48.035,48.352,0.0,3.807453110125406,1.7590211173707544,3.0,0,1,1,0.813878039324032,460,0.004,0.813878039324032,176.40338351292226,stop,t_wall,1770651760.3106809,1770651769.6927776,9.382096767425535,48.22121085103886,51.00000085389346,0.029,0.813878039324032,0.0080555555555555,0.813878039324032,0,1,0,
9-70kmh_55.0_70.0_20260209-165135.csv,9-70kmh,9,,,0,19.0,male,0,2.0,day,normal,70.0,61.58709750743999,61.58709750743999,-8.412902492560008,55.0,1770652316.786642,t_wall,linear_interpolation,0.8531478862827383,212,213,56.45989336362183,54.74870895222658,61.913,61.531,0.0,3.2149591069148977,2.660613481615405,3.0,0,1,1,0.797415896583006,726,0.0,0.7947244186740391,231.7277169128185,stop,t_wall,1770652316.786642,1770652326.820019,10.033376932144163,61.58709712168498,54.99999827199483,0.155,0.797415896583006,0.0430555555555555,0.797415896583006,0,1,0,
9-70kmh_45.0_70.0_20260209-165354.csv,9-70kmh,9,,,0,19.0,male,0,2.0,day,normal,70.0,65.95064216248842,65.95064216248842,-4.049357837511579,45.0,1770652455.1272252,t_wall,linear_interpolation,0.3435163014866973,210,211,45.6279550528914,43.79993393664834,65.884,66.078,0.0,2.4563824503917084,3.7289842263756814,3.0,1,0,0,,1171,0.004,-67.93863542388623,228.1005721272754,go,t_wall,1770652455.1272252,1770652457.571318,2.4440929889678955,65.95064206902711,45.00000088066623,64.6799772948247,0.0,17.966660359673526,0.0,1,0,0,
9-70kmh_50.0_70.0_20260209-165719.csv,9-70kmh,9,,,0,19.0,male,0,2.0,day,normal,70.0,64.85479718834635,64.85479718834635,-5.145202811653647,50.0,1770652661.3345735,t_wall,linear_interpolation,0.0137446266612104,223,224,50.02473443051407,48.22516350554473,64.854,64.912,0.0,2.7754307746465963,3.24548203575736,3.0,1,0,0,,602,0.004,-75.33750157225315,227.6115628853739,go,t_wall,1770652661.3345735,1770652664.1745365,2.839962959289551,64.85479719714324,49.99999972705809,63.67530443565639,0.0,17.687584565460106,0.0,1,0,0,
